ArtikelNummer,Omschrijving,Plato,AlcoholGraad,Eenheid,PrijsInEuroExclusiefTaksen
1001691,Delirium Nocturnum 24/33cl,16,8.5,24/33cl,26.18
1005353,Delirium Red 24/33cl,18,8,24/33cl,26.08
1002000,Delirium Tremens 12/75cl,16,8.5,12/75cl,41.48
1001999,Delirium Tremens 24/33cl,16,8.5,24/33cl,26.17
1001995,Deugniet 12/75cl,16,7.3,12/75cl,24.57
1005392,Deugniet 24/33cl,16,7.3,24/33cl,20.98
1001793,Dolle Brouwers Arabier 20/33cl,16,8,20/33cl,25.31
1001989,Dolle Brouwers Dulle Teve 20/33cl,20,10,20/33cl,29.23
1003860,Dolle Brouwers Export Stout 20/33cl,18,8,20/33cl,27.43
1002292,Dolle Brouwers Oerbier 20/33cl,18,9,20/33cl,26.59
1001964,Double Bie 24/33cl,16,6,24/33cl,20.08
1005545,Dubbel Klok 24/33cl,18,8.5,24/33cl,21.76
1001969,Duchesse De Bourgogne 24/25cl,15.2,6.2,24/25cl,19.76
1003904,Duvel O.W. 12/75cl,16.8,8.5,12/75cl,30.44
1001961,Duvel 24/33cl,16.6,8.5,24/33cl,19.84
1001960,Duvel Groen 24/25cl,16.9,8.5,24/25cl,16.01
1005517,Duvel Tripel Hop 24/33cl,18.7,9.5,24/33cl,27.04
1002017,Echte Kriek Verhaeghe 24/25cl,15.6,5.8,24/25cl,17.71
1002010,Ename blond 24/33cl,14,6.5,24/33cl,21.15
1002011,Ename Dubbel 24/33cl,14,6.5,24/33cl,21.36
1008023,Ename Pater,14,5.5,24/33cl,20.24
1002022,Ename Tripel 24/33cl,18,9,24/33cl,27.15
1006012,Engelzell Benno 20/33cl,14,6.9,20/33cl,39.49
1005785,Engelzell Gregorius 20/33cl,21,9.7,20/33cl,40.53
1008204,Engelzell Nivard,12.5,5.5,20/33cl,31.65
1007379,Filou,16,8.5,24/33cl,18.07
1006207,Floreffe Blond Beugel 20/33cl,14,7,20/33cl,12.61
1006293,Floreffe Double beugel 20/33cl,14,7,20/33cl,12.61
1006208,Floreffe Melior Beugel 20/33cl,18,8,20/33cl,16.65
1006206,Floreffe Tripel Beugel 20/33cl,17,8,20/33cl,16.82
1002035,Floris Appel 24/33cl,16,3.6,24/33cl,29.66
1002036,Floris Chocolade 24/33cl,14,5,24/33cl,29.67
1004995,Floris Fraise 24/33cl,14,3.6,24/33cl,29.67
1004306,Floris Framboise 24/33cl,14.44,3.6,24/33cl,31.54
1004305,Floris Honey 24/33cl,14,4.5,24/33cl,29.68
1002181,Floris Mango 24/33cl,14,3.6,24/33cl,29.55
1004308,Floris Ninkelberry 24/33cl,13.68,3.6,24/33cl,29.68
1004307,Floris Passion 24/33cl,14,3.6,24/33cl,29.67
1002056,G.Carolus Ambrio 12/75cl,18,8,12/75cl,26.93
1002055,G.Carolus Ambrio 24/33cl,18,8,24/33cl,21.99
1002062,G.Carolus Classic 12/75cl,18,8.5,12/75cl,26.99
1002054,G.Carolus Classic 24/33cl,17.5,7,24/33cl,21.66
1003832,G.Carolus Cuvee vd Keizer Blauw 12/75cl,24,11,12/75cl,44.1
1003833,G.Carolus Cuvee vd Keizer Rood 12/75cl,20,10,12/75cl,40.04
1002588,G.Carolus Hopsinjoor 12/75cl,18,8,12/75cl,26.93
1002587,G.Carolus Hopsinjoor 24/33cl,18,8,24/33cl,21.99
1007984,G Carolus Indulgence,22,11.7,12/75cl,70.97
1002059,G.Carolus Tripel 12/75cl,20,9,12/75cl,27.04
1002058,G.Carolus Tripel 24/33cl,20,8,24/33cl,21.7
1002041,Gageleer 24/33cl,16,7.5,24/33cl,22.76
1002196,Gauloise Amber 24/33cl,12.5,5.4,24/33cl,17.61
1002198,Gauloise Blonde 24/33cl,14,6.1,24/33cl,18.02
1002200,Gauloise Brune 24/33cl,18.7,8.3,24/33cl,21.73
1005614,Gauloise Fruits Rouge 24/33cl,19.8,8.2,24/33cl,22.24
1005817,Gauloise Triple Blonde 10 24/33cl,20,10,24/33cl,25.18
1002077,Gentse Tripel 24/33cl,16,8,24/33cl,20.15
1007766,Georges 4 Oak Aged,20,10,24/33cl,32.88
1005502,Goliath Blond 24/33cl,14,6,24/33cl,19.83
1005500,Goliath Tripel 24/33cl,18,9,24/33cl,21.74
1002066,Gordon Finest Gold 24/33cl,19.2,10,24/33cl,25.47
1002074,Gordon Scotch Ale 24/33cl,20.4,8.6,24/33cl,24.35
1002047,Grimbergen Blond 24/33cl,14.7,6.7,24/33cl,20.26
1002049,Grimbergen Dubbel 24/33cl,14.7,6.5,24/33cl,20.29
1002580,Grimbergen Goud Uit productie 24/33cl,16.7,8,24/33cl,22.02
1002051,Grimbergen Optimo Bruno 24/33cl,19.8,10,24/33cl,28.75
1002052,Grimbergen Tripel 24/33cl,18.2,9,24/33cl,27.69
1002078,Grottenbier 24/33cl,16,6.5,24/33cl,19.43
1003841,Grottenbier Santé 12/75cl,16,6,12/75cl,30.65
1004881,Gruut Amber 24/33cl,16,6.6,24/33cl,19.2
1004880,Gruut Blond 24/33cl,14.2,5.5,24/33cl,18.22
1001848,Gruut Bruin 24/33cl,18,8,24/33cl,22.43
1005516,Gruut Inferno 24/33cl,18,8,24/33cl,23.11
1004879,Gruut Wit 24/33cl,12.6,5,24/33cl,15.08
1002072,Guinness 24/33cl,17.9,8,24/33cl,29.22
1002063,Gulden Draak 24/33cl,22,10.5,24/33cl,20.58
1002064,Gulden Draak 6/75cl,23,10.8,6/75cl,22.15
1004682,Gulden Draak Brewmaster 6/75cl,22,11,6/75cl,30.53
1005553,Gulden Draak Quad o.w. 6/75cl,22,10.5,6/75cl,23.54
1005414,Gulden Draak Quadruple 24/33cl,22,10.5,24/33cl,21.88
1008025,Gulden Spoor Blond,11.7,4.5,24/33cl,19.06
1006752,Gulden Spoor Dubbel,16,6.5,24/33cl,21.49
1008028,Gulden Spoor Ipa,18,7,24/33cl,21.97
1006754,Gulden Spoor Netebuk,16,6,24/33cl,21.68
1008026,Gulden Spoor Quadrupel,20,9,24/33cl,23.74
1008027,Gulden Spoor Red Ale,16,6,24/33cl,19.46
1006753,Gulden Spoor Tripel,18,8.5,24/33cl,22.4
1002096,Hapkin 24/33cl,17.5,8.5,24/33cl,26.41
1002099,Hellekapelle 24/33cl,14,5.5,24/33cl,17.67
1002098,Helleketelbier 12/75cl,18,7,12/75cl,24.94
1010470,Hercule 12/33cl,18,9,12/33cl,15.89
1004914,Het Nest Hertenheer 24/33cl,14.7,6.5,24/33cl,21.66
1005154,Het Nest Kleveretien 24/33cl,20,10,24/33cl,21.63
1006473,Het Nest Koekedam 24/33cl,14,6.5,24/33cl,21.76
1005782,Het Nest SchuppenAas 24/33cl,12,6.5,24/33cl,22.04
1009468,Het Nest Schuppenboer Grand Cru 24/33cl,20,10,24/33cl,24.98
1004640,Het Nest Schuppenboer Tripel 24/33cl,18,8.5,24/33cl,21.31
1003842,Hoegaarden Citroen 24/25cl,7.9,3,24/25cl,15.34
1002092,Hoegaarden Grand Cru 24/33cl,17.9,8.5,24/33cl,26.58
1007220,Hoegaarden Radler Agrum 24/25cl,8.3,2,24/25cl,15.42
1002109,Hoegaarden Rosee 24/25cl,9.3,3,24/25cl,15.79
1002104,Hoegaarden Verb.Vrucht 24/33cl,18.45,8.8,24/33cl,27.43
1002105,Hoegaarden Witbier 24/25cl,11.6,4.5,24/25cl,12.21
1008007,Hof Ten Dormaal Amber,17.1,7.5,24/33cl,29.66
1008006,Hof Ten Dormaal Blond,16.1,8,24/33cl,37.07
1008008,Hof Ten Dormaal Donker,15.4,7.5,24/33cl,37.07
1009754,Hof Ten Dormaal Fresh Hop 24/33cl,10,4.5,24/33cl,29.52
1009755,Hof Ten Dormaal Politician 24/33cl,11,5,24/33cl,30.26
1008009,Hof Ten Dormaal Saison,12,4,24/33cl,29.55
1002088,Hommelbier 12/75cl,16,7.5,12/75cl,22.82
1002087,Hommelbier 24/25cl,16,7.5,24/25cl,14.73
1005697,Hommelbier New Harvest 12/75cl,16,7.5,12/75cl,44.07
1005693,Hopus 12/75cl,16,8.3,12/75cl,25.49
1004074,Hopus 20/33cl,16,8.3,20/33cl,17.04
1009521,Inglorious Brew Stars Cum Laude 24/33cl,15,7,24/33cl,29.18
1006801,Inglorious Brew Stars IQ,20,10.3,24/33cl,29.79
1005673,John Martin's IPA 24/33cl,16.7,6.7,24/33cl,21.36
1002120,John Martin's Pale Ale 24/33cl,16.4,5.8,24/33cl,21.67
1002113,Judas 24/33cl,18.5,8.5,24/33cl,26.87
1002129,Kapittel Abt 12/75cl,18,10,12/75cl,25.64
1002128,Kapittel Abt 24/33cl,18,10,24/33cl,18.49
1001715,Kapittel Blond 12/75cl,14,6,12/75cl,22.14
1001714,Kapittel Blond 24/33cl,14,6,24/33cl,16.37
1002138,Kapittel Dubbel 24/33cl,16,7.5,24/33cl,15.62
1002153,Kapittel Pater 24/33cl,12.8,6.5,24/33cl,12.91
1002155,Kapittel Prior 12/75cl,18.2,9,12/75cl,24.25
1002154,Kapittel Prior 24/33cl,18.2,9,24/33cl,17.39
1004696,Karmeliet Tripel 12/75cl,20,8.4,12/75cl,33.46
1002124,Karmeliet Tripel 24/33cl,20,8.4,24/33cl,20.28
1007357,Kasteelbier Barista,22,11,24/33cl,24.77
1002133,Kasteelbier Blond 24/33cl,13.2,6.4,24/33cl,18.43
1005462,Kasteelbier Cuvée Du Chateau 24/33cl,22,11,24/33cl,24.73
1002131,Kasteelbier Donker 24/33cl,24.1,11,24/33cl,22.61
1005869,Kasteelbier Hoppy 24/33cl,14,6.5,24/33cl,18.43
1002556,Kasteelbier Rouge 24/33cl,20,8,24/33cl,20.33
1002136,Kasteelbier Tripel 24/33cl,20.4,11,24/33cl,22.52
1002144,Keizer Karel Blond 24/33cl,18.1,8,24/33cl,20.74
1005498,Keizer Karel Ommegang 24/33cl,16,8,24/33cl,21.43
1001950,Keizer Karel Rood 24/33cl,18.9,9,24/33cl,20.74
1006623,Kempisch Vuur Devil's Heaven,22,10,24/33cl,33.03
1005092,Kempisch Vuur Dubbel 24/33cl,17.5,7.5,24/33cl,22.69
1005750,Kempisch Vuur Haverstout 24/33cl,14.5,6.5,24/33cl,25.4
1005643,Kempisch Vuur Hoppergod 24/33cl,14,6,24/33cl,22.99
1005810,Kempisch Vuur Jeneverbier 24/33cl,14,6.5,24/33cl,25.69
1002582,Kempisch Vuur Tripel 24/33cl,16,7.5,24/33cl,22.76
1004994,Kerkom Tripel 6/75cl,22,9,6/75cl,13.88
1005819,Klets 24/33cl,18,8,24/33cl,24.2
1005045,Kriek Max 24/25cl,14,3.2,24/25cl,15.19
1002148,Kriekedebie 24/33cl,19,4.5,24/33cl,21.78
1004855,Kwaremont Blond 24/33cl,16,6.5,24/33cl,18.21
1009781,La Binchoise Belge 24/33cl,14,5.9,24/33cl,26
1001845,La Binchoise Biere des Ours 12/75cl,16,8.5,12/75cl,28.79
1001844,La Binchoise Biere Des Ours 24/33cl,16,8.5,24/33cl,23.52
1002170,La Binchoise Blonde 12/75cl,14,6,12/75cl,24.61
1002169,La Binchoise Blonde 24/33cl,14,6,24/33cl,20.67
1002168,La Binchoise donker 12/75cl,16,8.2,12/75cl,26.96
1002171,La Binchoise Donker 24/33cl,16,8.2,24/33cl,19.77
1009782,La Binchoise Embuscade 24/33cl,14,5.8,24/33cl,27.39
1004077,La Binchoise tripel 24/33cl,18,7,24/33cl,24.34
1006191,La Binchoise XO 6/75cl,22,12,6/75cl,70.05
1002180,La Chouffe 12/75cl,16.7,8,12/75cl,24.09
1004463,La Chouffe 24/33cl,16.9,8,24/33cl,22.12
1004473,La Chouffe Houblon 12/75cl,18,9,12/75cl,33.87
1004820,La Chouffe Houblon 24/33cl,18,9,24/33cl,25.75
1006519,La Chouffe Soleil 24/33cl,13.9,6,24/33cl,20.36
1007916,La Corne Black,16,8,24/33cl,29.75
1005452,La Corne Blonde 24/33cl,12,5.9,24/33cl,25.78
1005453,La Corne Tripel 24/33cl,20,10,24/33cl,30.65
1002203,La Guillotine 12/75cl,18,9.3,12/75cl,40.38
1002202,La Guillotine 24/33cl,18,9.3,24/33cl,26.22
1002210,La Moneuse 12/75cl,16,8,12/75cl,28.21
1003846,La Trappe blond 24/33cl,14.5,6,24/33cl,20.46
1007732,La Trappe Blond,14.5,6.5,6/75cl,12.97
1005062,La Trappe bock 24/33cl,16.6,7,24/33cl,24.05
1007736,La Trappe Bock,16.6,7,6/75cl,14.76
1002233,La Trappe Dubbel 24/33cl,16.2,6.5,24/33cl,20.49
1007733,La Trappe Dubbel,16.2,6.5,6/75cl,12.98
1004547,La Trappe Isid'or 24/33cl,17.2,7,24/33cl,23.62
1007734,La Trappe Isid'or,17.2,6,6/75cl,14.53
1004983,La Trappe Puur Bio 24/33cl,10.4,4.7,24/33cl,17.44
1002235,La Trappe Quadrupel 24/33cl,22,10,24/33cl,24.94
1007447,La Trappe Quadrupel,22,9,6/75cl,14.47
1002231,La Trappe Tripel 24/33cl,17.5,8,24/33cl,23.77
1007580,La Trappe Tripel,17.5,8,6/75cl,12.38
1003253,La Trappe Witte Trappist 24/33cl,12,5.5,24/33cl,15.28
1007735,La Trappe Witte Trappist,12,5.5,6/75cl,12.91
1002162,Leffe 9 Rituel 24/33cl,20,9,24/33cl,21.95
1002163,Leffe Blond 24/33cl,15.6,6.9,24/33cl,18.43
1006629,Leffe Blond OW,16,6.9,6/75cl,15.18
1002183,Leffe Donker 24/33cl,15.6,6.4,24/33cl,18.17
1006628,Leffe Donker OW,15.7,6.4,6/75cl,16.1
1006063,Leffe Nectar 24/33cl,14,5.5,24/33cl,18.63
1002220,Leffe Radieuse 24/33cl,18.5,8.7,24/33cl,25.63
1005590,Leffe Royale 24/33cl,17,7.5,24/33cl,28.18
1007390,Leffe Royale Cascade IPA,14.7,7.5,24/33cl,26.94
1005280,Leffe Ruby 24/33cl,14.5,6,24/33cl,20.1
1002227,Leffe Tripel 24/33cl,17.9,8.7,24/33cl,25.33
1006203,LeFort 24/33cl,18.8,8.5,24/33cl,22.12
1008641,LeFort Tripel,20.4,8.8,24/33cl,22.17
1001717,Leute Bokbier 24/33cl,16,7.5,24/33cl,15.38
1002204,Liefmans Fruitesse 24/25cl,10.9,3.8,24/25cl,17.13
1002194,Liefmans Goudenband 12/75cl,18,8,12/75cl,66.5
1002187,Liefmans Goudenband 24/33cl,18,5.1,24/33cl,24.36
1007395,Liefmans Kriek-Brut,16,6,24/33cl,25.51
1002190,Liefmans Oud Bruin 24/25cl,12.5,3.5,24/25cl,12.63
1001501,"Lindemans Apple 12/37,5cl",14,3.5,"12/37,5cl",11.02
1001500,Lindemans Apple 24/25cl,14,3.5,24/25cl,12.23
1001502,"Lindemans Cassis 12/37,5cl",13.5,4,"12/37,5cl",16.17
1001233,Lindemans Cassis 24/25cl,14,3.5,24/25cl,17.02
1001508,"Lindemans Faro 12/37,5cl",16,4.7,"12/37,5cl",9.72
1001509,Lindemans Faro 12/75cl,16,4.7,12/75cl,21.04
1001507,Lindemans Faro 24/25cl,16,4.7,24/25cl,11.13
1001505,"Lindemans Framboise 12/37,5cl",13.2,2.5,"12/37,5cl",16.49
1001506,Lindemans Framboise 12/75cl,13.2,2.5,12/75cl,33.81
1001504,Lindemans Framboise 24/25cl,13.2,2.5,24/25cl,17.35
1001498,"Lindemans Gueuze 12/37,5cl",14,5,"12/37,5cl",9.26
1001499,Lindemans Gueuze 12/75cl,14,5,12/75cl,18.3
1001510,Lindemans Gueuze 24/25cl,14,5,24/25cl,10.5
1001562,"Lindemans Gueuze Cuvée René 12/37,5cl",14,4.5,"12/37,5cl",15.55
1001512,"Lindemans Kriek 12/37,5cl",14,3.5,"12/37,5cl",12.56
1001513,Lindemans Kriek 12/75cl,14,3.5,12/75cl,26.35
1001511,Lindemans Kriek 24/25cl,14,3.5,24/25cl,14.47
1008633,Lindemans Kriek Cuvée René,14.5,6.5,"12/37,5cl",24.01
1001514,"Lindemans Pecheresse 12/37,5cl",14,2.5,"12/37,5cl",16.43
1001515,Lindemans Pecheresse 12/75cl,14,2.7,12/75cl,33.83
1001516,Lindemans Pecheresse 24/25cl,14,2.5,24/25cl,17.17
1002239,Livinus Blonde 12/75cl,19,10,12/75cl,23.13
1002238,Livinus Blonde 24/33cl,18,10,24/33cl,18.22
1002179,Lucifer 12/75cl,16,8,12/75cl,26.56
1002178,Lucifer 24/33cl,16,8,24/33cl,21.62
1006082,Lupulus Blonde 12/75cl,16,8.5,12/75cl,25.55
1006083,Lupulus Brune 12/75cl,16,8.5,12/75cl,26.03
1006084,Lupulus Hibernatus 12/75cl,20,9,12/75cl,29.86
1007623,Lupulus Hopéra,12,6,24/33cl,24.34
1007622,Lupulus Organicus,16,8.5,12/75cl,28.4
1002259,Malheur 10 24/33cl,20,10,24/33cl,26.04
1010330,Malheur 10 6/75cl,20,10,6/75cl,18.78
1002261,Malheur 12 24/33cl,22,12,24/33cl,27.31
1010331,Malheur 12 6/75cl,22,11.5,6/75cl,22.17
1003852,Malheur 6 24/25cl,14,6,24/25cl,16.39
1001724,Malheur 8 24/33cl,16,8,24/33cl,26.12
1002262,Malheur Brut 6/75cl,20,6,6/75cl,54.32
1002265,Malheur Dark Brut 6/75cl,22,7,6/75cl,54.73
1004543,Maneblusser 24/33cl,14,6,24/33cl,16.64
1002247,Maredsous 10 Tripel 12/75cl,20.1,10,12/75cl,31.02
1002246,Maredsous 10 Tripel 24/33cl,20.1,10,24/33cl,23.44
1002249,Maredsous 6 Blond 12/75cl,14.6,6,12/75cl,25.77
1002248,Maredsous 6 Blond 24/33cl,14.9,6,24/33cl,18.13
1002253,Maredsous 8 Bruin 12/75cl,16.7,8,12/75cl,28.07
1002252,Maredsous 8 Bruin 24/33cl,16.8,8,24/33cl,20.28
1002256,Mc Chouffe 12/75cl,16.7,8,12/75cl,24.79
1004464,Mc Chouffe 24/33cl,16.7,8,24/33cl,22.12
1001962,Moinette Ambree 12/75cl,16,8.5,12/75cl,22.65
1009779,Moinette Ambrée 24/33cl,16.5,8.5,24/33cl,19.89
1002272,Moinette Bio 12/75cl,14,7.5,12/75cl,25.26
1002271,Moinette Bio 24/25cl,14,7.5,24/25cl,18.21
1002270,Moinette Blonde 12/75cl,16.5,8.5,12/75cl,22.66
1002268,Moinette Blonde 24/33cl,16.5,8.5,24/33cl,19.89
1002274,Moinette Donker 12/75cl,16,8,12/75cl,22.65
1003855,Moinette Donker 24/33cl,16,8.5,24/33cl,19.89
1001723,Mongozo Banana 24/33cl,16,3.6,24/33cl,30.98
1007423,Mongozo Buckwheat White,12,4.8,24/33cl,24.1
1002258,Mongozo Coconut 24/33cl,14,3.5,24/33cl,31.28
1004240,Mongozo Mango 24/33cl,14.97,3.6,24/33cl,31.28
1004242,Mongozo Palmnut 24/33cl,16,7,24/33cl,31.39
1005141,Mongozo premium pilsener 24/33cl,12,5,24/33cl,22.42
1004241,Mongozo Quinua 24/33cl,14,5.9,24/33cl,31.28
1002522,Monk's Stout Dupont 24/33cl,12,5.2,24/33cl,15.97
1005762,Trappist Mont Des Cats 12/75cl,16,7.6,12/75cl,45.59
1005707,Trappist Mont Des Cats 24/33cl,16,7.6,24/33cl,38.71
1001518,Mort Subite Gueuze 20/37.5cl,12.8,4.3,"20/37,5cl",27.45
1001517,Mort Subite Gueuze 24/25cl,12.8,4.5,24/25cl,16.42
1001525,Mort Subite Kriek Original 20/37.5cl,12.8,4.3,"20/37,5cl",29.98
1001524,Mort Subite Kriek Original 24/25cl,12.8,4.3,24/25cl,17.08
1008939,Mort Subite Oude Gueuze,14.2,7,"12/37,5cl",16.76
1002279,Mystic Krieken 24/25cl,12.8,3.5,24/25cl,15.88
1005242,Mystic Perzik 24/25cl,12.8,3.7,24/25cl,15.66
1003857,Mystic Radler Lemon 24/25cl,8,5,24/25cl,15.2
1002538,Mystic Witbier 24/25cl,11.5,4.8,24/25cl,12.55
1003996,Ne Flierefluiter 24/33cl,16,7,24/33cl,23.15
1008217,Ne Flierefluiter Eeuwling,16,7,24/33cl,23.15
1005042,Omer 12/75cl,18,8,12/75cl,32.07
1005041,Omer 24/33cl,18,8,24/33cl,21.63
1002297,Orval 24/33cl,13.4,6.2,24/33cl,24.45
1005350,"Oud Beersel Framboise 12/37,5cl",8,5,"12/37,5cl",37.48
1001528,"Oud Beersel Gueuze 12/37,5cl",14,6.5,"12/37,5cl",30.56
1001529,Oud Beersel Gueuze 12/75cl,14,6.5,12/75cl,54
1001530,"Oud Beersel Kriek 12/37,5cl",14,6,"12/37,5cl",35.89
1001561,Oud Beersel Kriek 12/75cl,14,6,12/75cl,64.37
1005442,Paix Dieux 12/33cl,20,10,12/33cl,15.41
1007024,Paljas Blond,15.5,6,24/33cl,21.09
1007025,Paljas Bruin,15.5,6,24/33cl,21.09
1007026,Paljas IPA,15.5,6,24/33cl,21.6
1008402,Paljas Saison,15.5,6,24/33cl,21.34
1005467,Palm 24/25cl,12.8,5,24/25cl,11.03
1005686,Palm Dobbel 24/25cl,12,5.7,24/25cl,11.17
1003907,Palm Hop Select 24/33cl,14,6,24/33cl,18.11
1005490,Palm N.A. 24/25cl,,,24/25cl,12.13
1002328,Palm Royale 24/33cl,16,7,24/33cl,18.55
1005818,Papegaei 24/33cl,18,8,24/33cl,23.97
1002319,Pater Lieven Blond 24/33cl,14.1,6,24/33cl,17.91
1002320,Pater Lieven Donker 24/33cl,13.9,6,24/33cl,17.91
1002321,Pater Lieven Tripel 24/33cl,16,8,24/33cl,23.32
1004934,Pater Lieven Witbier 24/33cl,12.7,4.5,24/33cl,16.45
1004706,Pauwel Kwak 12/75cl,20,8.4,12/75cl,33.36
1002314,Pauwel Kwak 24/33cl,20,8.4,24/33cl,18.51
1002337,Petrus Aged Pale 24/33cl,16,7.3,24/33cl,25.55
1009083,Petrus Aged Pale 6/75cl,16,7.3,6/75cl,19.35
1006539,Petrus Aged Red 24/33cl,20,8.5,24/33cl,21.04
1009053,Petrus Aged Red 6/75cl,20,8.5,6/75cl,20.24
1002339,Petrus Blond 24/33cl,16,6,24/33cl,16.92
1006995,Petrus Blond,16,6,6/75cl,15.61
1002341,Petrus Dubbel 24/33cl,16,6,24/33cl,16.92
1002342,Petrus Oud Bruin 24/33cl,12,5.5,24/33cl,15.82
1009054,Petrus Oud Bruin 6/75cl,16,6,6/75cl,14.47
1009082,Petrus Rood Bruin 6/75cl,12,5.5,6/75cl,14.42
1002333,Petrus Speciale 24/33cl,12,5.5,24/33cl,13.94
1002343,Petrus Tripel 24/33cl,15.3,7.5,24/33cl,20.07
1008477,Petrus Tripel,15.3,7.5,6/75cl,19.28
1002329,Piraat 24/33cl,23,10.5,24/33cl,19.67
1002331,Piraat 6/75cl,23,10.5,6/75cl,18.86
1005780,Piraat Tripel Hop 24/33cl,23,10.5,24/33cl,27.13
1002338,Postel Blond 24/33cl,16,6.5,24/33cl,20
1002335,Postel Dubbel 24/33cl,16.2,7.5,24/33cl,20
1002336,Postel Tripel 24/33cl,19.4,8.5,24/33cl,26.06
1006509,Préaris Belma 24/33cl,13.3,5,24/33cl,23.01
1006092,Préaris Blond 24/33cl,14,6,24/33cl,22.73
1006269,"Préaris Grand Cru B.A.Bourbon/Cognac 12/37,5cl",20.5,10,"12/37,5cl",68.42
1006093,Préaris IPA 24/33cl,14,6.7,24/33cl,22.76
1008631,Préaris Marius,22,10,6/75cl,36.93
1006268,"Préaris Quadrocinno 12/37,5cl",20.5,10,"12/37,5cl",21.6
1006850,Préaris Quadrocinno,20.9,10,24/33cl,28.08
1006088,Préaris Quadruppel 24/33cl,20.9,10,24/33cl,26.11
1008630,Prearis Smokey Li,16,8,24/33cl,25.48
1010469,Quintine Blond 12/33cl,16,8,12/33cl,12.87
1010471,Quintine Amber 12/33cl,18,8,12/33cl,13.72
1010472,Quintine Bio Organic 12/33cl,14,5.9,12/33cl,12.52
1002361,Reinaert Amber 24/33cl,16,6.5,24/33cl,17.15
1002362,Reinaert Grand Cru 24/33cl,18,9.5,24/33cl,18.19
1002363,Reinaert Tripel 24/33cl,18,9,24/33cl,18.07
1002357,Rochefort 10 24/33cl,20,11.3,24/33cl,35.26
1002358,Rochefort 6 24/33cl,16,7.5,24/33cl,21.11
1002359,Rochefort 8 24/33cl,18,9.2,24/33cl,24.01
1002353,Rodenbach 24/25cl,11.4,5,24/25cl,13.22
1005616,Rodenbach Caractère Rouge 6/75cl,16,7,6/75cl,34.96
1002356,Rodenbach Grand Cru 12/75cl,14,6,12/75cl,44.63
1002355,Rodenbach Grand Cru 24/33cl,13.1,6.5,24/33cl,23.11
1008648,Rodenbach Vintage,22,7,"12/37,5cl",34.22
1002564,Rulles blonde 12/75cl,14,6.5,12/75cl,30.77
1002563,Rulles brune 12/75cl,14,6.5,12/75cl,30.34
1003536,Rulles Cuv.Meil.Voeux 12/75cl,16,7.3,12/75cl,33.21
1002590,Rulles Estivale 12/75cl,12,5.2,12/75cl,31.07
1005267,Rulles La Grande 10 12/75cl,20,10,12/75cl,44.66
1006565,Rulles Saison XIII,12,5.3,12/75cl,31.19
1002565,Rulles Triple 12/75cl,18,8.4,12/75cl,34.15
1002392,Saison De Pipaix 24/33cl,14.1,6,24/33cl,18.94
1002395,Saison De Silly 24/25cl,12.4,5,24/25cl,12.73
1002396,Saison De Silly 24/33cl,12,5,24/33cl,14.02
1002385,Saison Dupont 12/75cl,13.4,6.5,12/75cl,17.99
1002566,Saison Dupont 24/33cl,13.4,6.5,24/33cl,16.11
1002386,Saison Dupont Bio 12/75cl,12,5.5,12/75cl,19.53
1001740,Saison Dupont Bio 24/25cl,12.2,5.5,24/25cl,14.02
1004916,"Saison Dupont Dry Hopping 1,5l",14,6.5,"1,5L",8.57
1006873,Saison Dupont Dry Hopping,14,6.5,"24/37,5cl",23.17
1006734,Satan Black,18,8,24/33cl,20.8
1002444,Satan Gold 24/33cl,17,8,24/33cl,21.92
1002442,Satan Red 24/33cl,17.7,8,24/33cl,21.51
1009587,Satan White 24/33cl,12.6,5,24/33cl,20.29
1001988,Scheldebrouwerij Dulle Griet 24/33cl,17,8,24/33cl,20.97
1005448,Scheldebrouwerij Hop-Ruiter 24/33cl,19,8,24/33cl,22.95
1002255,Scheldebrouwerij Krab 24/33cl,13,5,24/33cl,18.94
1002211,Scheldebrouwerij Lamme Goedzak 24/33cl,16,6.5,24/33cl,21.06
1004587,Scheldebrouwerij Nen Toeback 24/33cl,19,9,24/33cl,21.07
1002296,Scheldebrouwerij Oesterstout 24/33cl,19,8.5,24/33cl,22.95
1002407,Scheldebrouwerij Strandgaper 24/33cl,14.8,6.2,24/33cl,19.87
1002520,Scheldebrouwerij Wildebok 24/33cl,15.6,6.5,24/33cl,21.32
1002523,Scheldebrouwerij Witheer 24/33cl,14.8,6.2,24/33cl,18.83
1002549,Scheldebrouwerij Zeezuiper 24/33cl,17,7.5,24/33cl,21.76
1002382,Scotch De Silly 24/33cl,18,8,24/33cl,18.47
1005543,Seefbier 24/33cl,14.4,6.5,24/33cl,19.46
1001747,Serafijn Blond 24/33cl,14,6.2,24/33cl,21.86
1001748,Serafijn Donker 24/33cl,16,8,24/33cl,23.15
1002577,Serafijn Grand Cru 24/33cl,20,8,24/33cl,24.59
1003864,Serafijn Pallieter 24/33cl,18,7.5,24/33cl,21.37
1001749,Serafijn Tripel 24/33cl,18,8,24/33cl,22.87
1008716,Silly Rouge,18,8,24/33cl,22.33
1001743,Slaapmutske Bruin 24/33cl,14,6,24/33cl,21.5
1001744,Slaapmutske Blond 24/33cl,14,6.4,24/33cl,21.5
1005436,Slaapmutske Dry Hopped 24/33cl,12,5,24/33cl,22.38
1006952,Slaapmutske Flemish Old Style Sour,10,5,24/33cl,23.38
